Iteration,Selfish Strategy,Honest Strategy
289,Selfish,Honest
290,Selfish,Honest
291,Selfish,Honest
292,Selfish,Honest
293,Selfish,Honest
294,Selfish,Honest
295,Selfish,Honest
296,Selfish,Honest
297,Selfish,Honest
298,Selfish,Honest
299,Selfish,Honest
300,Selfish,Honest
301,Selfish,Honest
302,Selfish,Honest
303,Selfish,Honest
304,Selfish,Honest
305,Selfish,Honest
306,Selfish,Honest
307,Selfish,Honest
308,Selfish,Honest
309,Selfish,Honest
310,Selfish,Honest
311,Selfish,Honest
312,Selfish,Honest
313,Selfish,Honest
314,Selfish,Honest
315,Selfish,Honest
316,Selfish,Honest
317,Selfish,Honest
318,Selfish,Honest
319,Selfish,Honest
320,Selfish,Honest
321,Selfish,Honest
322,Selfish,Honest
323,Selfish,Honest
324,Selfish,Honest
325,Selfish,Honest
326,Selfish,Honest
327,Selfish,Honest
328,Selfish,Honest
329,Selfish,Honest
330,Selfish,Honest
331,Selfish,Honest
332,Selfish,Honest
333,Selfish,Honest
334,Selfish,Honest
335,Selfish,Honest
336,Selfish,Honest
337,Selfish,Honest
338,Selfish,Honest
339,Selfish,Honest
340,Selfish,Honest
341,Selfish,Honest
342,Selfish,Honest
343,Selfish,Honest
344,Selfish,Honest
345,Selfish,Honest
346,Selfish,Honest
347,Selfish,Honest
348,Selfish,Honest
349,Selfish,Honest
350,Selfish,Honest
351,Selfish,Honest
352,Selfish,Honest
353,Selfish,Honest
354,Selfish,Honest
355,Selfish,Honest
356,Selfish,Honest
357,Selfish,Honest
358,Selfish,Honest
359,Selfish,Honest
360,Selfish,Honest
361,Selfish,Honest
362,Selfish,Honest
363,Selfish,Honest
364,Selfish,Honest
365,Selfish,Honest
366,Selfish,Honest
367,Selfish,Honest
368,Selfish,Honest
369,Selfish,Honest
370,Selfish,Honest
371,Selfish,Honest
372,Selfish,Honest
373,Selfish,Honest
374,Selfish,Honest
375,Selfish,Honest
376,Selfish,Honest
377,Selfish,Honest
378,Selfish,Honest
379,Selfish,Honest
380,Selfish,Honest
381,Selfish,Honest
382,Selfish,Honest
383,Selfish,Honest
384,Selfish,Honest
385,Selfish,Honest
386,Selfish,Honest
387,Selfish,Honest
388,Selfish,Honest
389,Selfish,Honest
390,Selfish,Honest
391,Selfish,Honest
392,Selfish,Honest
393,Selfish,Honest
394,Selfish,Honest
395,Selfish,Honest
396,Selfish,Honest
397,Selfish,Honest
398,Selfish,Honest
399,Selfish,Honest
400,Selfish,Honest
401,Selfish,Honest
402,Selfish,Honest
403,Selfish,Honest
404,Selfish,Honest
405,Selfish,Honest
406,Selfish,Honest
407,Selfish,Honest
408,Selfish,Honest
409,Selfish,Honest
410,Selfish,Honest
411,Selfish,Honest
412,Selfish,Honest
413,Selfish,Honest
414,Selfish,Honest
415,Selfish,Honest
416,Selfish,Honest
417,Selfish,Honest
418,Selfish,Honest
419,Selfish,Honest
420,Selfish,Honest
421,Selfish,Honest
422,Selfish,Honest
423,Selfish,Honest
424,Selfish,Honest
425,Selfish,Honest
426,Selfish,Honest
427,Selfish,Honest
428,Selfish,Honest
429,Selfish,Honest
430,Selfish,Honest
431,Selfish,Honest
432,Selfish,Honest
433,Selfish,Honest
434,Selfish,Honest
435,Selfish,Honest
436,Selfish,Honest
437,Selfish,Honest
438,Selfish,Honest
439,Selfish,Honest
440,Selfish,Honest
441,Selfish,Honest
442,Selfish,Honest
443,Selfish,Honest
444,Selfish,Honest
445,Selfish,Honest
446,Selfish,Honest
447,Selfish,Honest
448,Selfish,Honest
449,Selfish,Honest
450,Selfish,Honest
451,Selfish,Honest
452,Selfish,Honest
453,Selfish,Honest
454,Selfish,Honest
455,Selfish,Honest
456,Selfish,Honest
457,Selfish,Honest
458,Selfish,Honest
459,Selfish,Honest
460,Selfish,Honest
461,Selfish,Honest
462,Selfish,Honest
463,Selfish,Honest
464,Selfish,Honest
465,Selfish,Honest
466,Selfish,Honest
467,Selfish,Honest
468,Selfish,Honest
469,Selfish,Honest
470,Selfish,Honest
471,Selfish,Honest
472,Selfish,Honest
473,Selfish,Honest
474,Selfish,Honest
475,Selfish,Honest
476,Selfish,Honest
477,Selfish,Honest
478,Selfish,Honest
479,Selfish,Honest
480,Selfish,Honest
481,Selfish,Honest
482,Selfish,Honest
483,Selfish,Honest
484,Selfish,Honest
485,Selfish,Honest
486,Selfish,Honest
487,Selfish,Honest
488,Selfish,Honest
489,Selfish,Honest
490,Selfish,Honest
491,Selfish,Honest
492,Selfish,Honest
493,Selfish,Honest
494,Selfish,Honest
495,Selfish,Honest
496,Selfish,Honest
497,Selfish,Honest
498,Selfish,Honest
499,Selfish,Honest
500,Selfish,Honest
501,Selfish,Honest
502,Selfish,Honest
503,Selfish,Honest
504,Selfish,Honest
505,Selfish,Honest
506,Selfish,Honest
507,Selfish,Honest
508,Selfish,Honest
509,Selfish,Honest
510,Selfish,Honest
511,Selfish,Honest
512,Selfish,Honest
513,Selfish,Honest
514,Selfish,Honest
515,Selfish,Honest
516,Selfish,Honest
517,Selfish,Honest
518,Selfish,Honest
519,Selfish,Honest
520,Selfish,Honest
521,Selfish,Honest
522,Selfish,Honest
523,Selfish,Honest
524,Selfish,Honest
525,Selfish,Honest
526,Selfish,Honest
527,Selfish,Honest
528,Selfish,Honest
529,Selfish,Honest
530,Selfish,Honest
531,Selfish,Honest
532,Selfish,Honest
533,Selfish,Honest
534,Selfish,Honest
535,Selfish,Honest
536,Selfish,Honest
537,Selfish,Honest
538,Selfish,Honest
539,Selfish,Honest
540,Selfish,Honest
541,Selfish,Honest
542,Selfish,Honest
543,Selfish,Honest
544,Selfish,Honest
545,Selfish,Honest
546,Selfish,Honest
547,Selfish,Honest
548,Selfish,Honest
549,Selfish,Honest
550,Selfish,Honest
551,Selfish,Honest
552,Selfish,Honest
553,Selfish,Honest
554,Selfish,Honest
555,Selfish,Honest
556,Selfish,Honest
557,Selfish,Honest
558,Selfish,Honest
559,Selfish,Honest
560,Selfish,Honest
561,Selfish,Honest
562,Selfish,Honest
563,Selfish,Honest
564,Selfish,Honest
565,Selfish,Honest
566,Selfish,Honest
567,Selfish,Honest
568,Selfish,Honest
569,Selfish,Honest
570,Selfish,Honest
571,Selfish,Honest
572,Selfish,Honest
573,Selfish,Honest
574,Selfish,Honest
575,Selfish,Honest
576,Selfish,Honest
577,Selfish,Honest
578,Selfish,Honest
579,Selfish,Honest
580,Selfish,Honest
581,Selfish,Honest
582,Selfish,Honest
583,Selfish,Honest
584,Selfish,Honest
585,Selfish,Honest
586,Selfish,Honest
587,Selfish,Honest
588,Selfish,Honest
589,Selfish,Honest
590,Selfish,Honest
591,Selfish,Honest
592,Selfish,Honest
593,Selfish,Honest
594,Selfish,Honest
595,Selfish,Honest
596,Selfish,Honest
597,Selfish,Honest
598,Selfish,Honest
599,Selfish,Honest
600,Selfish,Honest
601,Selfish,Honest
602,Selfish,Honest
603,Selfish,Honest
604,Selfish,Honest
605,Selfish,Honest
606,Selfish,Honest
607,Selfish,Honest
608,Selfish,Honest
609,Selfish,Honest
610,Selfish,Honest
611,Selfish,Honest
612,Selfish,Honest
613,Selfish,Honest
614,Selfish,Honest
615,Selfish,Honest
616,Selfish,Honest
617,Selfish,Honest
618,Selfish,Honest
619,Selfish,Honest
620,Selfish,Honest
621,Selfish,Honest
622,Selfish,Honest
623,Selfish,Honest
624,Selfish,Honest
625,Selfish,Honest
626,Selfish,Honest
627,Selfish,Honest
628,Selfish,Honest
629,Selfish,Honest
630,Selfish,Honest
631,Selfish,Honest
632,Selfish,Honest
633,Selfish,Honest
634,Selfish,Honest
635,Selfish,Honest
636,Selfish,Honest
637,Selfish,Honest
638,Selfish,Honest
639,Selfish,Honest
640,Selfish,Honest
641,Selfish,Honest
642,Selfish,Honest
643,Selfish,Honest
644,Selfish,Honest
645,Selfish,Honest
646,Selfish,Honest
647,Selfish,Honest
648,Selfish,Honest
649,Selfish,Honest
650,Selfish,Honest
651,Selfish,Honest
652,Selfish,Honest
653,Selfish,Honest
654,Selfish,Honest
655,Selfish,Honest
656,Selfish,Honest
657,Selfish,Honest
658,Selfish,Honest
659,Selfish,Honest
660,Selfish,Honest
661,Selfish,Honest
662,Selfish,Honest
663,Selfish,Honest
664,Selfish,Honest
665,Selfish,Honest
666,Selfish,Honest
667,Selfish,Honest
668,Selfish,Honest
669,Selfish,Honest
670,Selfish,Honest
671,Selfish,Honest
672,Selfish,Honest
673,Selfish,Honest
674,Selfish,Honest
675,Selfish,Honest
676,Selfish,Honest
677,Selfish,Honest
678,Selfish,Honest
679,Selfish,Honest
680,Selfish,Honest
681,Selfish,Honest
682,Selfish,Honest
683,Selfish,Honest
684,Selfish,Honest
685,Selfish,Honest
686,Selfish,Honest
687,Selfish,Honest
688,Selfish,Honest
689,Selfish,Honest
690,Selfish,Honest
691,Selfish,Honest
692,Selfish,Honest
693,Selfish,Honest
694,Selfish,Honest
695,Selfish,Honest
696,Selfish,Honest
697,Selfish,Honest
698,Selfish,Honest
699,Selfish,Honest
700,Selfish,Honest
701,Selfish,Honest
